ticket_id,customer_id,created_date,ticket_type,priority,ticket_status,closed_date,resolution_hours,satisfaction_score,assigned_agent
T0000066,C02210,5/18/2026,Service Quality,Urgent,CLOSED,5/18/2026,11,3,a. chen
T0000067,C02558,4/21/2025,Service Quality,Urgent,Resolved,4/21/2025,1,5,A. Chen
T0000068,C09902,1/5/2025,Cancellation,High,Resolved,1/6/2025,26,3, C. Nguyen 
T0000069,C03393,"Jun 11, 2025",cancellation,Low,Closed,6/13/2025,61,2,A. Chen
T0000070,C06846,"May 06, 2025",Plan Change,Low,Closed,5/6/2025,13,4, G. Lee 
T0000071,C15120,5/23/2025,CANCELLATION,Medium,Closed,"May 25, 2025",56,4,G. Lee
T0000072,C06233,"Apr 17, 2026",Plan Change,Low,Closed,"Apr 17, 2026",16,5,F. Brown
T0000073,C03963,5/15/2026,Plan Change,Low,Closed,5/15/2026,5 hrs,,G. Lee
T0000074, C13096 ,6/30/2026,Plan Change,Low,Resolved,"Jul 01, 2026",45, 5 ,C. Nguyen
T0000075,C10963,2/18/2025,Technical,Urgent,Resolved,"Feb 20, 2025",71,4,H. Martinez
T0000076,C02118,5/6/2026,Billing,High,Closed,5/7/2026,36, 5 ,F. Brown
T0000077,C04808,"Apr 17, 2025",Service Quality,Low,Open,,,,E. Wilson
T0000078, C02704,"May 17, 2025",Technical,Medium,Closed,5/18/2025,47,,H. Martinez
T0000079,C07131,10/16/2025,Technical,Medium,Resolved ,10/18/2025,63,4, C. Nguyen 
T0000080,C01352,1/24/2026,Billing,Low,Closed,"Jan 24, 2026",22,,C. Nguyen
T0000081,C11180,4/4/2026,Technical,Medium,Open,,,,C. Nguyen
T0000082,C17916,5/27/2025,Account Access,Urgent,Closed,"May 27, 2025",10,3,F. Brown
T0000083,C14027,"Mar 27, 2025",  Plan Change  ,High,Resolved,3/27/2025,16,,F. Brown
T0000084,C14817,5/14/2026,Technical,Medium,Resolved,5/16/2026,69,3,H. Martinez
T0000085,C12294,5/12/2026,Technical,Low,Closed,5/14/2026,71,,F. Brown
T0000086,C11688,4/10/2025,Technical,Low,Closed,4/11/2025,42,5,C. Nguyen
T0000087,C03321,3/13/2025,Technical,High,Closed,3/15/2025,50,1,C. Nguyen
T0000088,C06133,"Jul 01, 2025",Technical,Low,Resolved,7/1/2025,22,5,F. Brown
T0000089,C11041,12/11/2025,Billing,low,Resolved,12/11/2025,14,4,E. Wilson
T0000090,C14419,12/29/2025,Technical,Low,Resolved,1/2/2026,112,4,B. Patel
T0000091,C08768,"Mar 07, 2025",Technical,Medium,Resolved,3/9/2025,70,3,F. Brown
T0000092,C14186,4/28/2026,Billing,Low,Open,,,,C. Nguyen
T0000093,C12850,3/29/2026,Technical,Low,Closed,"Apr 01, 2026",79,2,A. Chen	
T0000094,C07837,2/10/2025,Account Access,Low,Closed,2/12/2025,54,5,B. Patel
T0000095,C17291,7/27/2025,Billing,High,Open,,,4,C. Nguyen
T0000096,C03766,"Feb 27, 2026",Account Access,Low,Closed,3/1/2026,58, 4 ,D. Garcia
T0000097,C08106,6/17/2025,Technical,Medium,Open,,,1,F. Brown
T0000098,C01099,12/2/2025,Billing,Urgent,Closed,12/2/2025,11,1,C. Nguyen
T0000099,C08872,4/9/2026,Technical,Urgent,Closed,"Apr 11, 2026",49,,B. Patel
T0000100,C04427,11/11/2025,Cancellation,Medium,Resolved,"Nov 12, 2025",29,4,C. Nguyen
T0000101,C14570,"Feb 01, 2025",Billing,Medium,Resolved,2/2/2025,39,3,E. Wilson
T0000102,C08622,5/20/2026,Billing,Medium,Closed,5/20/2026,3,2,D. Garcia
T0000103,C13999,2/12/2026,Technical,Low,Open,,,1,A. Chen
T0000104,C08353,6/29/2025,Cancellation,Low,CLOSED,6/30/2025,42,3,B. Patel
T0000105,C10624,12/1/2025,Service Quality,Urgent,Resolved,12/1/2025,16,4,B. Patel
T0000106,C08586,4/22/2026,  Billing  ,Medium,Resolved,4/23/2026,36,,B. Patel
T0000107,C15690,11/3/2025,Cancellation,Low,Closed,11/4/2025,33 hrs,2,B. Patel
T0000108,C10095,8/30/2025,Account Access,Medium,Resolved,8/31/2025,38,4,D. Garcia
T0000109,C15215,6/13/2026,Plan Change,Medium,Resolved,6/15/2026,51,4,D. Garcia
T0000110,C15407,5/30/2026,Service Quality,Low,Open,,,3,E. Wilson
T0000111,C10604,4/19/2026,Plan Change ,Low,Resolved,4/19/2026,3,5,B. Patel
T0000112,C12017,3/21/2025,Billing,High,Resolved,3/23/2025,61,,G. Lee
T0000113,C16588,3/14/2025,Service Quality,High,Open,,,1,D. Garcia
T0000114,C09550,9/19/2025,Billing,Medium,Closed,9/20/2025,40,5,G. Lee
T0000115,C09132,4/13/2026,Technical,Medium,Closed,4/18/2026,123,2,E. Wilson
T0000116,C11205,3/8/2026, Account Access,High,Closed,3/8/2026,2,,H. Martinez
T0000117,C04244,"Dec 11, 2025",Plan Change,Low,Resolved,12/12/2025,41,4,C. Nguyen
T0000118,C01989,10/11/2025,Technical,Low,Open,,,,H. Martinez
T0000119,C08424,"Oct 05, 2025",Cancellation,Medium,Resolved,10/8/2025,93,1,H. Martinez
T0000120,C14290,1/5/2026,Billing,Low,Resolved,1/5/2026,20,4,A. Chen
T0000121,C09618,"May 31, 2026",Account Access,Medium,Closed,6/1/2026,26,3,E. Wilson
T0000122,C04433,5/2/2026,Billing,Low,Closed,5/2/2026,12,5,C. Nguyen
T0000123,C12847,3/9/2026,Billing,Medium,Resolved,3/10/2026,29,3,B. Patel	
T0000124,C01030,10/16/2025,Cancellation,Low,Open,,,,B. Patel
T0000125,C06249,12/22/2025,Billing,Medium,Closed,12/23/2025,24,3,C. Nguyen
T0000126,C15584,2/8/2026,Cancellation,Medium,Closed,2/8/2026,12,,A. Chen
T0000127,C01057,8/25/2025,Billing,High,Open,,,,E. Wilson
T0000128,C15811,"Oct 08, 2025",Account Access,Medium,Resolved,10/12/2025,111,,C. Nguyen
T0000129,C13711,"May 13, 2025",Billing,Medium,Open,,,1,A. Chen
T0000130,C09949,2/4/2025,Technical,Medium,Closed,2/5/2025,45,3,B. Patel
T0000131,C04791,9/27/2025,service quality,Low,Resolved,"Sep 29, 2025",57,4,D. Garcia
T0000132,C09298,6/2/2025,Technical,Urgent,Closed,6/4/2025,53,3,A. Chen
T0000133,C15006,3/9/2026,Technical,High,Resolved,3/11/2026,60,5,D. Garcia
T0000134,C17933,9/7/2025,Service Quality,High,Resolved,9/7/2025,17,,F. Brown
T0000135, C05502,"Mar 22, 2025",Technical, Low,Resolved,3/26/2025,113,4,H. Martinez
T0000136,C10961,11/16/2025,Plan Change,Low,Open,,,2,B. Patel
T0000137,C01316,2/9/2026,Plan Change,Medium,Resolved,"Feb 09, 2026",11 hrs,2,G. Lee
T0000138,C17768,1/13/2026,Technical,Low,Resolved,1/15/2026,64,,C. Nguyen
T0000139,C11715,5/10/2025,Account Access,Medium,Closed,5/11/2025,26,3,E. Wilson
T0000140,C05104,8/2/2025,Plan Change,Low,Resolved,"Aug 03, 2025",26,4,B. Patel
T0000141,C11039,12/12/2025,Technical,Medium,Closed,12/22/2025,240,2,e. wilson
T0000142,C10045,1/6/2025,Billing,Medium,Closed,1/6/2025,12,5,E. Wilson
T0000143,C07073,11/22/2025,Technical,Low,Closed,11/24/2025,51,,F. Brown
T0000144,C03046,"May 17, 2025",Technical,High,Closed,5/17/2025, 15 ,1,H. Martinez
T0000145,C04693,3/24/2025,SERVICE QUALITY,Medium,Closed,3/25/2025,45,4,F. Brown
T0000146,C09293,1/15/2026,Cancellation,Medium,Closed,"Jan 15, 2026",7,2,d. garcia
T0000147,C16044,4/5/2026,Technical,Medium,Closed,"Apr 06, 2026",25,4,D. Garcia
T0000148,C16439,6/25/2025,Technical,Urgent,Closed,6/25/2025,23,5,C. Nguyen
T0000149,C14566,1/29/2025,Billing,High,Closed,"Jan 31, 2025",53,5,G. Lee
T0000150, C06082,8/19/2025,Billing,Medium,Closed,"Aug 21, 2025",50,3,G. Lee
T0000151,C03516,"Dec 14, 2025",Account Access,Urgent,Open,,,5,G. Lee
T0000152,C10429,2/5/2026,Cancellation,High,Resolved,2/6/2026,31,4,G. Lee
T0000153,C08193,2/2/2025,Service Quality,Low,Resolved,2/3/2025,28,4,F. Brown
T0000154,C17660,"Jan 23, 2026",Account Access,Urgent,Resolved,1/23/2026,13,4,E. Wilson
T0000155,C16661,2/12/2025,Technical,High,Resolved,2/14/2025,51,4,C. Nguyen
T0000156,C03382,6/20/2026,Technical,Medium,Open,,,,F. Brown
T0000157,C06930,"Mar 04, 2025",Plan Change,Medium,Resolved,3/5/2025,37,3,D. Garcia
T0000158,C06190,"Dec 29, 2025",Service Quality,High,Resolved,12/30/2025,47,3,A. Chen
T0000159,C07435,1/26/2025,Cancellation,High,Closed,1/26/2025,17,5,A. Chen
T0000160,C16685,11/22/2025,Technical,Medium,Closed,"Nov 24, 2025",61,4,E. Wilson
T0000161,C07198,10/21/2025,Technical,Low,Resolved,10/24/2025,77,1,C. Nguyen	
T0000162,C00807,"Aug 07, 2025",Technical,Urgent,Closed,"Aug 08, 2025",29,5,G. Lee
T0000163,C09664,5/8/2025,Plan Change,Medium,Resolved,5/8/2025,3,5,E. Wilson
T0000164,C00569,3/4/2025,Service Quality,Medium,Resolved,3/4/2025,10,2,F. Brown
T0000165,C12905,2/8/2025,Plan Change,Medium,Resolved,2/9/2025,27,4,A. Chen
T0000166,C08371,4/29/2025,Plan Change,Medium,Resolved,"May 01, 2025",63,,H. Martinez
T0000167,C14393,"Apr 26, 2025",billing,Low,Closed,4/27/2025,45,,D. Garcia
T0000168,C13030,6/25/2025,Account Access,Medium,Closed,6/27/2025,50 hrs,5,c. nguyen
T0000169, C07622 ,3/19/2025,Service Quality,Medium,Resolved,3/19/2025,11, 4 ,D. Garcia
T0000170, C07186 ,"May 24, 2026",Service Quality,High,Open,,,2,C. Nguyen
T0000171,C17291,"Jan 26, 2026",Account Access,Medium,Closed,1/26/2026,9,3,F. Brown
T0000172,C02159,12/17/2025,Technical,Medium,Open,,,2,B. Patel
T0000173,C01096,2/24/2026,Service Quality,medium,Closed,"Feb 26, 2026",61,3,C. Nguyen
T0000174,C15376,4/7/2025,Technical,Medium,Resolved,4/10/2025,79,4,D. Garcia
T0000175,C17743,"Jul 29, 2025",Technical,Low,Resolved,8/3/2025,129,5,H. Martinez
T0000176,C09634,4/18/2025,Plan Change,Medium,Resolved,4/20/2025,54,2,F. Brown
T0000177,C05848,10/17/2025,Cancellation,Medium,Resolved,"Oct 17, 2025",8,1,H. Martinez
T0000178,C15413,4/24/2025,Service Quality,Urgent,Resolved,4/25/2025, 26 ,3,G. Lee
T0000179,C03563,2/28/2025,Billing,Urgent,Closed,"Feb 28, 2025",13,3,B. Patel
T0000180,C11487,5/26/2025,Account Access,Low,open,,,,H. Martinez
T0000181,C10958,1/28/2026,Technical,Low,Closed,2/2/2026,124 hrs,4,F. Brown
T0000182,C06763,"Feb 22, 2025",Technical,Low,Resolved,2/25/2025, 77 ,1,G. Lee
T0000183,C01152,"Jul 01, 2026",Technical,High,Open,,,,G. Lee
T0000184,C06774,5/27/2026,Technical ,High,Resolved,5/28/2026,40,2,D. Garcia
T0000185,C06923,"Mar 19, 2026",Service Quality,Low,Closed,3/25/2026,162,2,C. Nguyen
T0000186,C05755,8/24/2025,Billing,Medium,Resolved,"Aug 26, 2025",57 hrs,1,C. Nguyen
T0000187,C05626,"Jan 09, 2025",Plan Change,Medium,Closed,1/9/2025,22,,D. Garcia
T0000188,C10098,3/26/2025,Plan Change,Medium,Open,,,3,A. Chen
T0000189,C15235,"Feb 09, 2026",Cancellation,Medium,Closed,2/10/2026,25,5,G. Lee
T0000190,C00899,1/24/2026,Cancellation,High,Resolved,1/25/2026,47,4,A. Chen
T0000191,C16009,12/16/2025, Billing,Low,Closed,12/16/2025,17,5,E. WILSON
T0000192,C11352,7/6/2025,Technical,Urgent,Resolved,7/9/2025,80,3,C. Nguyen
T0000193,C17776,9/28/2025,Account Access,High,Closed,9/29/2025,37,3,H. Martinez
T0000194,C01261,2/17/2025,Technical,Low,Open,,,,G. Lee
T0000195,C02055,1/29/2025,Account Access,Medium,Closed,1/29/2025,8,3,C. Nguyen
T0000196,C13454,1/29/2025,Plan Change,Low,  Closed  ,1/31/2025,50,2,H. Martinez
T0000197,C06315,12/5/2025,Billing,Urgent,Closed,12/6/2025,24,5,G. Lee
T0000198,C01276,2/1/2026,Technical,Urgent,Closed,2/1/2026,17,5,F. Brown
T0000199,C13443,"Mar 23, 2025",Plan Change,Medium,Resolved,3/23/2025,4,5,C. Nguyen
T0000200,C12568,2/9/2025,Service Quality,Medium,Closed,"Feb 13, 2025",98,1,B. Patel
T0000201,C14681,3/17/2025,Technical,Medium,Closed,"Mar 23, 2025",150,,H. Martinez
T0000202,C10337,6/27/2026,  Technical  ,Low,Resolved,6/27/2026,9,4,C. Nguyen
T0000203,C00313,12/16/2025,Service Quality,Medium,Open,,,2,D. Garcia
T0000204,C06455,12/4/2025,Billing,High,Closed,"Dec 04, 2025",22,5,H. Martinez
T0000205,C13026,"Aug 08, 2025",Plan Change,Low,Resolved,8/8/2025,8,5,C. Nguyen
T0000206,C09443,2/11/2026,Technical,Low,Open,,,,B. Patel
T0000207,C17180,3/28/2025,plan change,Urgent,Closed,3/29/2025,27,2,H. MARTINEZ
T0000208,C00256,1/30/2025,Billing,Medium,Closed,1/31/2025,43 hrs,,C. Nguyen
T0000209,C15850,5/24/2025,Billing,High,Closed,5/25/2025,47,5,E. Wilson
T0000210,C12380,3/1/2025,Plan Change,Medium,Resolved,3/2/2025,25,,F. Brown
T0000211,C02708,5/4/2026,Technical,Low,Closed,5/12/2026,201,4,D. Garcia
T0000212,C09478,"Apr 07, 2025",Service Quality,Medium,Closed,"Apr 09, 2025",61,4,G. Lee
T0000213,C02665,6/21/2026,Plan Change,Medium,Resolved,6/23/2026,55,3,H. Martinez
T0000214, C01353,5/8/2025,Service Quality,Low,Resolved,5/11/2025,77,3,A. Chen
T0000215,C12764,"Mar 24, 2025",Technical,High,Resolved,"Mar 26, 2025",48,4,D. Garcia
T0000216,C00057,"Jun 12, 2026",Cancellation,Urgent,Closed,"Jun 12, 2026",6,1,A. Chen
T0000217,C10512,1/20/2026,Plan Change,High,Resolved,1/21/2026,30,5,D. Garcia
T0000218,C06429,10/6/2025,Cancellation,Low,Closed,10/6/2025,12,3,A. Chen
T0000219,C03396,2/21/2025,Technical,Medium,Closed,2/23/2025,65,,B. Patel
T0000220,C16979,"May 18, 2025",  Billing  ,Low,Resolved,5/20/2025,57,5,F. Brown
T0000221,C16890,3/23/2025,Technical,Low,Closed,3/25/2025,63,4,D. Garcia
T0000222,C06419,9/5/2025,Billing,Medium,Open,,,2,F. Brown
T0000223,C17590,3/17/2026,Cancellation,Medium,Resolved,3/19/2026,57,,F. Brown
T0000224,C07190,"Jan 29, 2025",Billing,Low,Resolved,2/1/2025,85,2,C. Nguyen
T0000225, C07877 ,1/16/2025,Service Quality,High,resolved,1/16/2025,10,4,G. Lee
T0000226,C11474,2/1/2025,Billing,Medium,Closed,2/5/2025,110 hrs,1,A. Chen
T0000227,C11439,6/2/2025,Technical,Medium,Resolved,6/7/2025,122,4,A. Chen
T0000228,C06004,6/13/2026,Cancellation,Low,Closed,6/14/2026,26, 4 ,F. Brown
T0000229,C00246,10/17/2025,Account Access,High,Resolved,"Oct 18, 2025",33,1,C. Nguyen
T0000230,C07481,5/7/2025,Plan Change,Medium,Open,,,,H. Martinez
T0000231,C09245 ,"Mar 08, 2025",Billing,Medium,Resolved,3/8/2025,9,3,G. Lee
T0000232,C01693,"Feb 28, 2025",Account Access,Low,Closed,2/28/2025,16 hrs,,D. Garcia
T0000233,C06630,2/20/2025,Technical,URGENT,Closed,2/22/2025,48,,F. Brown
T0000234,C13434,"Jun 04, 2025",Service Quality,Medium,Closed,6/4/2025,21,,H. Martinez
T0000235,C02935,"Mar 31, 2025",Account Access,High,Closed,4/1/2025,40 hrs,,A. Chen
T0000236,C03342,6/3/2026,Service Quality,High,Resolved,6/4/2026,46,5,B. Patel
T0000237,C14157,1/27/2025,Billing,High,Open,,,1,E. Wilson
T0000238,C09415,10/17/2025,Technical,Low,Resolved,10/20/2025,73,4,E. Wilson
T0000239,C04310,5/14/2026,Billing,Urgent,CLOSED,5/14/2026,3,5,F. Brown
T0000240,C00927,5/21/2026,Cancellation,Medium,Resolved,5/22/2026,34,5,A. Chen
T0000241,C12495,6/13/2025,Service Quality,Urgent,Resolved,6/14/2025,37,2,F. Brown
T0000242,C09683,11/1/2025,Cancellation,Medium,Open,,,,B. Patel
T0000243,C03363,4/2/2026,Billing,High,Resolved,4/2/2026,20,,A. Chen
T0000244,C14000,6/20/2026,Technical,Low,Closed,"Jun 27, 2026",168,2,C. Nguyen
T0000245,C11712,5/19/2025,Plan Change,Medium,Open,,,3,E. Wilson
T0000246,C16082,2/13/2025,Account Access,Low,Open,,,,A. Chen
T0000247,C01307,8/11/2025,Billing,Medium,Open,,,1,A. Chen
T0000248,C11606,6/11/2025,Technical,Urgent,Resolved,6/11/2025,11,4,G. Lee
T0000249,C03855,"May 19, 2025",Billing,High,Closed,5/21/2025,60,5,A. Chen
T0000250,C05619,8/17/2025,Service Quality,High,Closed,8/17/2025,17,3,B. Patel
T0000251,C17619,6/14/2025,Account Access,Low ,Closed,6/14/2025,10,5,A. Chen
T0000252,C06938,6/18/2025,Account Access,Low,Resolved,6/18/2025,7,4,F. Brown
T0000253,C05801,5/22/2025,Billing,Medium,Resolved,5/23/2025,46,4,A. Chen
T0000254,C17687,9/18/2025,Technical,High,Closed,"Sep 20, 2025",62,5,D. Garcia
T0000255,C17121,4/8/2026,Service Quality,Urgent,Closed,4/8/2026,2,,A. Chen
T0000256,C10846,1/7/2026,Billing,Urgent,Closed,"Jan 08, 2026",25,,E. Wilson
T0000257,C00690,"Oct 27, 2025",Account Access,high,Open,,58,1,C. Nguyen
T0000258,C06753,4/9/2026,Technical,Low,Open,,,1,B. Patel
T0000259,C09474,4/2/2026,Service Quality,High,Resolved,4/2/2026,9,,E. Wilson
T0000260,C02991,3/10/2026,Technical,High,Open,,,2,C. Nguyen
T0000261,C10574,10/1/2025,Billing,Low,Closed,10/3/2025,65,3,H. Martinez
T0000262,C07920,3/5/2025,Plan Change,High,Resolved,3/5/2025,10,5,F. Brown
T0000263,C10099,7/2/2026,Account Access,High,Closed,7/2/2026,22,5,F. Brown
T0000264,C08835,8/31/2025,Billing,High,Resolved,9/1/2025, 42 ,,B. Patel
T0000265,C17575,"Jun 08, 2026",Billing,Low,Closed,6/9/2026,31, 5 ,E. Wilson
T0000266,C03189,"Feb 23, 2025",Billing,Medium,Resolved,"Feb 23, 2025",7,4,B. Patel
T0000267,C05213,1/25/2025,Service Quality,High,Open,,,1,A. Chen
T0000268,C06078,4/19/2026,Billing,Low,Closed,4/21/2026,52,4,G. Lee
T0000269,C16053,4/26/2026,Technical,High,Open,,,5,E. Wilson
T0000270,C02187,"Feb 06, 2026",Service Quality,Low,Resolved,2/6/2026,20,5,D. Garcia
T0000271,C12750,3/26/2026,Account Access,High,Closed,3/27/2026,37,3,H. Martinez
T0000272,C13898,"Jun 18, 2026",Service Quality,Low,Open,,,,C. Nguyen
T0000273,C07968,7/24/2025,Technical,Medium,Closed,7/25/2025,38,4,D. Garcia
T0000274,C12103,2/6/2026,Plan Change,High,Resolved,2/7/2026,27,,A. Chen
T0000275,C12255,1/6/2026,Billing,Low,Resolved,"Jan 06, 2026",17,3,C. Nguyen
T0000276,C03864,10/22/2025,Billing,Low,Closed,10/26/2025,111,1,B. Patel
T0000277,C07950,4/4/2026,billing,Medium,Closed,"Apr 04, 2026",16,5,F. Brown	
T0000278,C08574,5/29/2025,Technical,Medium,Closed ,6/4/2025,151,4,G. Lee
T0000279,C13076,4/24/2025,Technical,Medium,Open,,,,G. Lee
T0000280,C01822,"Aug 22, 2025",Service Quality,Medium,Resolved,8/24/2025,52,3,G. Lee
T0000281,C04294,3/31/2025,Plan Change,High,Open,,,,F. Brown
T0000282,C10918,6/21/2026,Billing,Low,Open,,,3,D. Garcia
T0000283,C13520,4/13/2025,Billing,Low,Closed,"Apr 16, 2025",89,,A. Chen
T0000284,C14730,8/28/2025,Plan Change,Medium,  Resolved  ,8/28/2025,22,3,F. Brown
T0000285,C08510,2/26/2026,Cancellation,Medium,Closed,2/26/2026,6,3,E. Wilson
T0000286,C09591,1/31/2025,Cancellation,Low,Closed,2/2/2025,67,3,C. Nguyen
T0000287,C17363,6/28/2025,Technical,Medium,Closed,"Jun 30, 2025",49,4,H. Martinez
T0000288,C01814,11/18/2025,Technical,Medium,Closed,"Nov 21, 2025",78,3,h. martinez
T0000289,C02571,5/28/2025,Account Access,High,Resolved,5/29/2025,31,5,D. Garcia
T0000290,C15937,3/24/2025,Plan Change,Medium,Closed,3/24/2025,11,5,H. Martinez
T0000291,C05055,7/11/2025,Technical,High,Open,,,4,G. Lee
T0000292,C08193,"Feb 18, 2026",Technical,Low,Closed,2/19/2026,25, 4 ,F. Brown
T0000293,C09001,3/15/2025,Service Quality,Low,Open,,,,B. Patel
T0000294,C02756,"Jan 30, 2026",Service Quality,Low,Resolved,1/31/2026,35,5,A. Chen
T0000295,C07924,4/13/2026,Technical,Low,Resolved,4/17/2026,115,1,F. Brown
T0000296,C00360,8/15/2025,Plan Change,Low,Resolved,"Aug 17, 2025",69,4,B. Patel
T0000297,C10702,9/24/2025,Billing, Medium,Closed,9/26/2025,67,4,H. Martinez
